iter	RMSE
0	76666.27153
1	74926.79376
2	73297.54921
3	71541.45421
4	69718.72001
5	68149.92787
6	66435.30971
7	64882.28981
8	63516.7042
9	62105.39476
10	60772.64057
11	59487.95771
12	58270.04464
13	57093.63965
14	55967.37165
15	54939.29395
16	53879.11823
17	52863.96925
18	51948.49946
19	51137.36118
20	50233.9013
21	49363.69493
22	48642.09312
23	47984.53405
24	47147.30347
25	46268.04238
26	45383.05758
27	44762.20356
28	44130.7525
29	43410.03119
30	42797.47876
31	42170.63383
32	41509.90304
33	40868.04788
34	40337.22137
35	39793.23451
36	39235.90225
37	38707.41675
38	38235.63083
39	37748.64402
40	37226.69214
41	36745.3251
42	36286.95558
43	35844.40461
44	35416.04199
45	35011.45429
46	34595.7244
47	34227.23284
48	33915.86346
49	33566.71433
50	33241.36759
51	32915.45356
52	32598.09815
53	32277.89522
54	31883.86976
55	31602.0904
56	31353.83096
57	31077.3513
58	30784.65776
59	30494.19202
60	30229.13895
61	29998.41913
62	29759.04714
63	29497.44024
64	29261.00416
65	29051.71828
66	28835.63853
67	28640.13304
68	28434.70805
69	28217.56195
70	28015.81734
71	27813.77178
72	27662.86834
73	27402.11293
74	27136.59019
75	26950.61752
76	26731.63575
77	26549.93407
78	26365.56639
79	26224.35463
80	26094.50531
81	25916.6958
82	25773.33004
83	25607.05163
84	25464.69673
85	25326.22063
86	25190.09846
87	25026.37342
88	24907.88927
89	24729.13283
90	24590.93481
91	24474.15093
92	24367.68994
93	24251.47266
94	24163.41619
95	24075.65775
96	23964.83487
97	23856.09763
98	23726.84691
99	23645.70752
100	23545.30599
101	23430.38097
102	23327.53328
103	23215.80733
104	23105.01084
105	23007.19464
106	22927.59133
107	22844.73736
108	22729.24551
109	22660.79771
110	22554.62083
111	22449.55542
112	22352.05431
113	22274.51078
114	22194.96319
115	22122.37263
116	22040.63088
117	21929.686
118	21836.67046
119	21759.26747
120	21695.2508
121	21583.18683
122	21488.69159
123	21424.21431
124	21356.91126
125	21273.5614
126	21220.47421
127	21145.91846
128	21048.58977
129	20944.77146
130	20812.26166
131	20759.08744
132	20747.60546
133	20681.17477
134	20623.75211
135	20521.3871
136	20471.52534
137	20407.94648
138	20328.27391
139	20284.93642
140	20227.14986
141	20158.9714
142	20096.9024
143	20050.68663
144	19981.17438
145	19931.52997
146	19872.29137
147	19824.34061
148	19748.69836
149	19690.34934
150	19629.11325
151	19564.55111
152	19512.36556
153	19457.29554
154	19395.61156
155	19329.6901
156	19280.89208
157	19236.35377
158	19180.35792
159	19140.94095
160	19087.56192
161	19039.64834
162	18994.66633
163	18912.19083
164	18823.20558
165	18770.83414
166	18723.51578
167	18681.80105
168	18632.84251
169	18595.55176
170	18557.73559
171	18515.72348
172	18477.72616
173	18440.27263
174	18401.60165
175	18328.56747
176	18298.27066
177	18248.22573
178	18188.02506
179	18154.40247
180	18108.26114
181	18071.52916
182	18010.78412
183	17971.20082
184	17934.34313
185	17883.08523
186	17837.39103
187	17789.76882
188	17753.05329
189	17702.68032
190	17666.19991
191	17597.4173
192	17550.56641
193	17520.19132
194	17472.22232
195	17413.34002
196	17373.08344
197	17315.62942
198	17260.54249
199	17192.94945
200	17156.251
201	17112.09264
202	17086.91832
203	17039.74916
204	17013.38791
205	16977.61765
206	16923.44467
207	16892.01899
208	16841.00933
209	16789.11105
210	16749.84267
211	16696.61512
212	16650.22661
213	16619.77654
214	16592.34688
215	16552.30142
216	16496.06705
217	16454.85699
218	16402.55776
219	16362.66056
220	16327.98249
221	16299.00042
222	16267.27373
223	16217.47534
224	16191.84666
225	16162.86398
226	16127.28896
227	16071.1107
228	16003.26167
229	15963.66416
230	15922.76669
231	15872.67942
232	15839.64642
233	15804.31032
234	15775.8214
235	15750.20461
236	15705.13861
237	15674.18345
238	15633.83437
239	15578.04865
240	15547.1261
241	15512.26631
242	15480.66212
243	15459.41022
244	15406.75374
245	15370.95625
246	15334.54469
247	15314.11165
248	15293.77006
249	15248.38456
250	15197.37043
251	15152.71286
252	15133.10544
253	15098.52484
254	15066.78451
255	15047.3242
256	15018.68921
257	14990.58623
258	14966.33926
259	14946.82477
260	14915.21714
261	14893.40361
262	14860.99628
263	14839.09325
264	14802.70946
265	14768.2559
266	14738.38308
267	14681.16098
268	14644.2811
269	14619.01397
270	14578.2262
271	14532.27896
272	14506.09344
273	14478.79543
274	14453.96
275	14413.19671
276	14369.79754
277	14333.35547
278	14318.81849
279	14284.35904
280	14246.87348
281	14208.23599
282	14185.72834
283	14164.82368
284	14130.96058
285	14113.47017
286	14076.20856
287	14024.98034
288	13990.26372
289	13970.41216
290	13937.74071
291	13918.29139
292	13878.36524
293	13843.54887
294	13814.38882
295	13777.40709
296	13754.89056
297	13725.3117
298	13687.82973
299	13662.55794
300	13633.30128
301	13617.98401
302	13583.78842
303	13553.19812
304	13540.17284
305	13504.48089
306	13464.45364
307	13427.57865
308	13395.5303
309	13369.34921
310	13333.56053
311	13311.95473
312	13285.03319
313	13251.28595
314	13216.6853
315	13190.46929
316	13170.7405
317	13139.91225
318	13119.13883
319	13092.80596
320	13078.63484
321	13047.66524
322	13011.19568
323	12999.33725
324	12984.68517
325	12951.12431
326	12934.4609
327	12912.36989
328	12877.45937
329	12841.84456
330	12815.33813
331	12784.64593
332	12747.95576
333	12727.93637
334	12698.75462
335	12659.89538
336	12641.43667
337	12614.70538
338	12602.03867
339	12574.71873
340	12527.15732
341	12507.30145
342	12479.01648
343	12462.10067
344	12433.36561
345	12414.24406
346	12403.41392
347	12381.13886
348	12360.86269
349	12333.96312
350	12297.09112
351	12263.67641
352	12251.05086
353	12223.42984
354	12195.91489
355	12164.29005
356	12139.51348
357	12117.34568
358	12099.93697
359	12083.39811
360	12063.79323
361	12033.32093
362	12001.99771
363	11983.41562
364	11965.34604
365	11938.06829
366	11925.5418
367	11914.57712
368	11893.08232
369	11874.0258
370	11862.66544
371	11824.62463
372	11809.05263
373	11788.02466
374	11769.02
375	11737.44103
376	11712.24886
377	11703.79902
378	11676.07875
379	11655.41447
380	11641.35695
381	11621.11365
382	11595.91022
383	11568.54177
384	11542.11876
385	11512.03836
386	11491.16565
387	11471.0508
388	11447.55514
389	11422.69943
390	11401.47451
391	11376.16676
392	11353.96597
393	11328.81291
394	11308.28005
395	11277.39709
396	11265.90701
397	11239.09865
398	11220.91654
399	11206.38595
400	11188.47138
401	11174.6132
402	11160.44425
403	11146.78057
404	11132.76317
405	11126.60901
406	11099.23011
407	11075.65401
408	11052.57428
409	11029.43112
410	11005.9671
411	10984.28116
412	10968.99909
413	10953.89826
414	10936.44951
415	10919.48468
416	10901.32249
417	10878.33441
418	10855.52565
419	10840.21769
420	10820.29998
421	10794.76975
422	10779.4011
423	10765.56066
424	10754.80473
425	10733.61404
426	10713.71066
427	10697.17562
428	10686.90929
429	10672.72243
430	10656.77891
431	10640.21854
432	10628.14703
433	10603.1272
434	10591.18345
435	10579.8425
436	10567.67439
437	10555.33265
438	10545.27501
439	10520.88363
440	10501.53169
441	10491.56899
442	10465.00576
443	10439.91136
444	10423.22162
445	10410.98487
446	10394.16159
447	10378.56827
448	10364.21182
449	10340.27105
450	10319.45742
451	10296.03008
452	10268.73414
453	10254.02726
