iter	Passed	Remaining
0	1	1505
1	3	1689
2	5	1781
3	7	1827
4	9	1798
5	10	1768
6	12	1741
7	14	1806
8	16	1809
9	18	1786
10	20	1814
11	22	1827
12	24	1828
13	25	1822
14	28	1842
15	29	1830
16	31	1816
17	33	1824
18	35	1811
19	36	1796
20	38	1787
21	40	1786
22	41	1773
23	43	1779
24	46	1794
25	47	1792
26	49	1797
27	51	1799
28	53	1800
29	55	1801
30	57	1812
31	59	1808
32	61	1803
33	64	1833
34	66	1832
35	68	1831
36	70	1825
37	71	1814
38	73	1808
39	74	1799
40	76	1792
41	78	1786
42	80	1798
43	82	1795
44	84	1792
45	86	1790
46	88	1787
47	89	1781
48	91	1778
49	93	1776
50	95	1770
51	97	1770
52	98	1764
53	100	1761
54	102	1755
55	103	1751
56	105	1747
57	107	1743
58	109	1741
59	111	1739
60	112	1735
61	114	1737
62	116	1735
63	118	1734
64	120	1732
65	122	1729
66	123	1725
67	125	1721
68	127	1725
69	129	1726
70	131	1724
71	133	1723
72	136	1729
73	137	1726
74	139	1724
75	141	1721
76	143	1720
77	145	1717
78	147	1716
79	149	1720
80	151	1719
81	153	1721
82	155	1716
83	157	1717
84	159	1715
85	161	1713
86	163	1711
87	165	1710
88	167	1716
89	169	1716
90	171	1715
91	173	1714
92	175	1714
93	177	1711
94	179	1707
95	181	1704
96	182	1701
97	184	1700
98	186	1697
99	188	1692
100	189	1687
101	191	1684
102	193	1683
103	195	1681
104	197	1679
105	198	1675
106	200	1673
107	202	1670
108	203	1666
109	206	1667
110	208	1666
111	211	1674
112	213	1674
113	215	1671
114	217	1674
115	219	1675
116	222	1679
117	224	1677
118	225	1673
119	227	1669
120	229	1667
121	231	1665
122	232	1661
123	235	1661
124	237	1659
125	238	1656
126	240	1652
127	242	1650
128	243	1646
129	245	1643
130	247	1641
131	249	1639
132	250	1630
133	251	1626
134	253	1622
135	254	1619
136	256	1615
137	258	1612
138	259	1607
139	261	1606
140	263	1602
141	264	1599
142	266	1596
143	268	1593
144	269	1592
145	271	1589
146	273	1586
147	275	1583
148	277	1584
149	279	1581
150	280	1578
151	283	1579
152	284	1576
153	286	1573
154	287	1569
155	289	1566
156	291	1562
157	292	1558
158	294	1556
159	296	1554
160	298	1552
161	299	1550
162	301	1548
163	303	1546
164	305	1544
165	306	1541
166	308	1538
167	309	1534
168	311	1532
169	313	1529
170	314	1526
171	316	1523
172	318	1521
173	320	1519
174	321	1516
175	323	1512
176	324	1509
177	326	1506
178	327	1503
179	329	1499
180	330	1496
181	332	1495
182	334	1491
183	335	1488
184	337	1485
185	339	1483
186	340	1480
187	342	1478
188	343	1475
189	345	1472
190	347	1470
191	348	1468
192	350	1465
193	352	1463
194	354	1461
195	355	1459
196	357	1457
197	359	1454
198	360	1452
199	362	1449
200	364	1447
201	365	1444
202	367	1442
203	369	1442
204	371	1439
205	372	1436
206	374	1433
207	376	1431
208	377	1429
209	379	1427
210	381	1425
211	383	1424
212	384	1421
213	386	1418
214	387	1416
215	389	1414
216	391	1411
217	392	1409
218	394	1407
219	396	1405
220	399	1406
221	401	1405
222	402	1403
223	404	1402
224	406	1399
225	407	1397
226	409	1395
227	411	1394
228	414	1395
229	416	1395
230	418	1394
231	420	1392
232	422	1390
233	423	1387
234	425	1384
235	426	1381
236	428	1379
237	430	1379
238	432	1378
239	435	1378
240	437	1376
241	439	1375
242	441	1374
243	442	1371
244	444	1369
245	446	1367
246	448	1367
247	450	1365
248	451	1362
249	453	1359
250	455	1357
251	456	1355
252	458	1352
253	459	1350
254	461	1348
255	463	1346
256	464	1344
257	466	1341
258	468	1339
259	469	1337
260	471	1334
261	473	1333
262	475	1331
263	476	1328
264	478	1325
265	479	1323
266	481	1321
267	483	1319
268	484	1317
269	486	1314
270	487	1312
271	489	1310
272	491	1307
273	492	1305
274	494	1302
275	495	1300
276	497	1298
277	499	1296
278	500	1293
279	502	1292
280	504	1290
281	506	1289
282	507	1286
283	509	1285
284	511	1283
285	513	1281
286	514	1278
287	516	1277
288	518	1274
289	519	1272
290	521	1270
291	523	1268
292	524	1266
293	526	1264
294	528	1262
295	529	1260
296	532	1259
297	533	1257
298	535	1255
299	536	1252
300	538	1251
301	540	1248
302	541	1246
303	543	1244
304	545	1242
305	546	1240
306	549	1239
307	550	1237
308	552	1235
309	553	1233
310	555	1231
311	557	1229
312	559	1227
313	560	1225
314	562	1223
315	564	1222
316	566	1219
317	567	1217
318	569	1215
319	571	1213
320	572	1211
321	574	1210
322	576	1208
323	578	1206
324	580	1205
325	581	1203
326	583	1200
327	585	1198
328	586	1196
329	588	1194
330	590	1192
331	591	1190
332	594	1189
333	596	1188
334	598	1187
335	600	1185
336	601	1184
337	604	1183
338	606	1181
339	607	1179
340	609	1177
341	610	1175
342	612	1172
343	613	1170
344	615	1168
345	617	1166
346	619	1165
347	620	1163
348	622	1161
349	624	1159
350	625	1157
351	627	1154
352	628	1152
353	630	1150
354	631	1148
355	633	1145
356	634	1143
357	636	1141
358	638	1139
359	639	1137
360	641	1136
361	643	1133
362	645	1132
363	647	1130
364	648	1128
365	650	1126
366	651	1124
367	653	1122
368	655	1120
369	656	1118
370	658	1116
371	659	1114
372	661	1112
373	663	1110
374	664	1108
375	666	1106
376	668	1104
377	670	1102
378	671	1100
379	673	1098
380	675	1096
381	676	1094
382	678	1092
383	679	1090
384	681	1088
385	683	1086
386	684	1084
387	686	1082
388	687	1080
389	689	1078
390	691	1076
391	692	1074
392	694	1072
393	696	1071
394	698	1069
395	699	1067
396	701	1065
397	703	1063
398	705	1061
399	706	1059
400	708	1057
401	709	1055
402	711	1053
403	713	1052
404	715	1051
405	719	1052
406	723	1053
407	728	1057
408	730	1055
409	731	1053
410	733	1051
411	734	1048
412	736	1046
413	738	1045
414	739	1043
415	741	1041
416	743	1039
417	745	1037
418	746	1035
419	748	1033
420	749	1031
421	751	1029
422	753	1027
423	754	1025
424	756	1022
425	757	1021
426	759	1018
427	760	1016
428	762	1015
429	764	1013
430	765	1011
431	767	1009
432	769	1007
433	771	1005
434	772	1003
435	774	1001
436	776	1000
437	778	998
438	780	996
439	781	995
440	783	993
441	785	991
442	786	989
443	788	987
444	790	986
445	792	984
446	794	982
447	796	981
448	798	980
449	800	978
450	802	976
451	803	974
452	805	972
453	807	971
454	809	969
455	810	967
456	812	965
457	814	963
458	815	961
459	817	959
460	819	958
461	821	956
462	822	954
463	824	952
464	826	950
465	827	948
466	829	947
467	831	945
468	833	943
469	834	941
470	836	939
471	838	937
472	840	935
473	841	933
474	843	932
475	844	930
476	846	927
477	848	926
478	849	924
479	851	922
480	852	920
481	854	918
482	855	916
483	858	915
484	860	913
485	862	911
486	864	910
487	865	908
488	867	906
489	870	905
490	871	903
491	873	902
492	875	900
493	877	898
494	878	896
495	880	895
496	882	893
497	883	890
498	885	889
499	887	887
500	888	885
501	890	883
502	892	882
503	894	880
504	897	879
505	898	877
506	900	875
507	902	873
508	903	871
509	905	869
510	906	867
511	908	865
512	909	863
513	911	861
514	913	859
515	914	857
516	916	855
517	918	854
518	919	852
519	921	850
520	923	848
521	924	846
522	926	844
523	928	843
524	929	841
525	931	839
526	932	837
527	934	835
528	936	833
529	937	831
530	939	829
531	941	828
532	942	826
533	944	824
534	945	822
535	947	820
536	948	818
537	951	816
538	952	814
539	954	813
540	956	811
541	958	809
542	959	807
543	961	806
544	963	804
545	964	802
546	966	800
547	968	798
548	970	797
549	972	795
550	973	793
551	975	791
552	977	789
553	978	787
554	980	786
555	982	784
556	984	782
557	986	781
558	988	779
559	990	777
560	992	776
561	994	775
562	996	773
563	998	771
564	999	769
565	1001	767
566	1002	765
567	1004	764
568	1006	762
569	1008	761
570	1010	759
571	1012	757
572	1014	755
573	1015	753
574	1017	752
575	1019	750
576	1021	748
577	1023	746
578	1024	745
579	1026	743
580	1028	741
581	1030	740
582	1032	738
583	1033	736
584	1035	734
585	1037	732
586	1038	730
587	1040	728
588	1042	727
589	1043	725
590	1045	723
591	1047	721
592	1048	719
593	1050	718
594	1052	716
595	1054	714
596	1056	712
597	1057	711
598	1059	709
599	1061	707
600	1062	705
601	1064	703
602	1065	701
603	1068	700
604	1069	698
605	1071	696
606	1073	694
607	1075	693
608	1076	691
609	1078	689
610	1079	687
611	1081	685
612	1082	683
613	1084	681
614	1086	680
615	1088	678
616	1090	677
617	1092	675
618	1094	673
619	1095	671
620	1097	669
621	1099	667
622	1100	666
623	1102	664
624	1103	662
625	1105	660
626	1107	658
627	1109	657
628	1111	655
629	1113	653
630	1114	651
631	1116	650
632	1118	648
633	1119	646
634	1121	644
635	1122	642
636	1124	640
637	1125	638
638	1127	637
639	1129	635
640	1131	633
641	1132	631
642	1134	629
643	1136	628
644	1137	626
645	1139	624
646	1141	622
647	1143	620
648	1144	619
649	1146	617
650	1147	615
651	1149	613
652	1151	612
653	1153	610
654	1155	608
655	1156	606
656	1158	604
657	1159	602
658	1161	600
659	1163	599
660	1165	597
661	1167	596
662	1169	594
663	1171	592
664	1172	590
665	1174	588
666	1176	587
667	1178	585
668	1179	583
669	1181	582
670	1183	580
671	1186	578
672	1187	577
673	1189	575
674	1190	573
675	1192	571
676	1194	569
677	1195	567
678	1197	566
679	1199	564
680	1200	562
681	1202	560
682	1204	558
683	1205	557
684	1207	555
685	1209	553
686	1211	551
687	1212	549
688	1214	548
689	1215	546
690	1217	544
691	1219	542
692	1221	540
693	1222	539
694	1224	537
695	1226	535
696	1228	533
697	1229	532
698	1231	530
699	1233	528
700	1234	526
701	1236	524
702	1238	523
703	1239	521
704	1241	519
705	1243	517
706	1244	515
707	1246	514
708	1248	512
709	1249	510
710	1251	508
711	1253	506
712	1254	505
713	1256	503
714	1258	501
715	1260	499
716	1261	498
717	1263	496
718	1265	494
719	1266	492
720	1268	490
721	1270	489
722	1271	487
723	1273	485
724	1275	483
725	1276	481
726	1278	479
727	1279	478
728	1282	476
729	1284	475
730	1285	473
731	1287	471
732	1288	469
733	1290	467
734	1292	465
735	1293	464
736	1295	462
737	1296	460
738	1298	458
739	1299	456
740	1301	454
741	1303	453
742	1304	451
743	1306	449
744	1307	447
745	1309	445
746	1311	444
747	1312	442
748	1314	440
749	1316	438
750	1318	436
751	1319	435
752	1321	433
753	1322	431
754	1324	429
755	1326	427
756	1327	426
757	1329	424
758	1330	422
759	1332	420
760	1333	418
761	1335	417
762	1336	415
763	1338	413
764	1340	411
765	1341	409
766	1343	408
767	1345	406
768	1347	404
769	1349	402
770	1351	401
771	1352	399
772	1354	397
773	1356	396
774	1358	394
775	1359	392
776	1361	390
777	1363	389
778	1365	387
779	1366	385
780	1368	383
781	1370	382
782	1372	380
783	1374	378
784	1376	377
785	1378	375
786	1380	373
787	1381	371
788	1383	370
789	1385	368
790	1387	366
791	1388	364
792	1390	362
793	1392	361
794	1394	359
795	1395	357
796	1397	355
797	1398	354
798	1400	352
799	1402	350
800	1403	348
801	1405	346
802	1407	345
803	1409	343
804	1411	341
805	1413	340
806	1415	338
807	1417	336
808	1418	335
809	1421	333
810	1423	331
811	1425	330
812	1427	328
813	1430	326
814	1431	325
815	1433	323
816	1436	321
817	1439	320
818	1443	319
819	1445	317
820	1447	315
821	1449	313
822	1452	312
823	1455	310
824	1459	309
825	1461	307
826	1464	306
827	1466	304
828	1468	302
829	1471	301
830	1474	299
831	1476	298
832	1479	296
833	1481	294
834	1484	293
835	1486	291
836	1490	290
837	1492	288
838	1495	286
839	1497	285
840	1500	283
841	1503	282
842	1506	280
843	1508	278
844	1511	277
845	1514	275
846	1517	274
847	1519	272
848	1522	270
849	1524	269
850	1526	267
851	1528	265
852	1531	263
853	1533	262
854	1536	260
855	1538	258
856	1540	257
857	1543	255
858	1545	253
859	1548	252
860	1552	250
861	1554	248
862	1556	247
863	1559	245
864	1562	243
865	1565	242
866	1568	240
867	1572	239
868	1575	237
869	1578	235
870	1580	234
871	1583	232
872	1586	230
873	1589	229
874	1591	227
875	1593	225
876	1596	223
877	1599	222
878	1601	220
879	1603	218
880	1605	216
881	1608	215
882	1610	213
883	1612	211
884	1614	209
885	1616	208
886	1618	206
887	1620	204
888	1622	202
889	1624	200
890	1627	199
891	1629	197
892	1632	195
893	1634	193
894	1636	191
895	1638	190
896	1642	188
897	1645	186
898	1647	185
899	1649	183
900	1651	181
901	1654	179
902	1656	177
903	1658	176
904	1660	174
905	1663	172
906	1664	170
907	1666	168
908	1667	166
909	1669	165
910	1671	163
911	1673	161
912	1675	159
913	1676	157
914	1678	155
915	1680	154
916	1682	152
917	1683	150
918	1685	148
919	1687	146
920	1688	144
921	1690	143
922	1692	141
923	1694	139
924	1695	137
925	1698	135
926	1699	133
927	1701	131
928	1702	130
929	1705	128
930	1706	126
931	1708	124
932	1710	122
933	1711	120
934	1713	119
935	1714	117
936	1716	115
937	1717	113
938	1719	111
939	1721	109
940	1722	108
941	1724	106
942	1726	104
943	1727	102
944	1729	100
945	1731	98
946	1732	96
947	1734	95
948	1736	93
949	1738	91
950	1740	89
951	1742	87
952	1743	86
953	1745	84
954	1747	82
955	1749	80
956	1750	78
957	1752	76
958	1755	75
959	1757	73
960	1758	71
961	1760	69
962	1762	67
963	1764	65
964	1766	64
965	1768	62
966	1770	60
967	1771	58
968	1773	56
969	1775	54
970	1776	53
971	1778	51
972	1779	49
973	1781	47
974	1783	45
975	1785	43
976	1786	42
977	1788	40
978	1789	38
979	1791	36
980	1792	34
981	1794	32
982	1796	31
983	1798	29
984	1799	27
985	1801	25
986	1803	23
987	1805	21
988	1806	20
989	1808	18
990	1810	16
991	1811	14
992	1813	12
993	1814	10
994	1816	9
995	1818	7
996	1820	5
997	1822	3
998	1823	1
999	1825	0
